,A ID,B ID,Race Margin,Win % Margin,Skill Margin,Game Margin,AvgPPM Margin,Win Margin,Gender Matchup,State
0,10021704,10015795,0.0,5.769230769230774,-3,-64,-0.019999999999999574,-3.0,0,0
1,10021704,10015795,-1.0,5.769230769230774,-3,-64,-0.019999999999999574,2.0,0,0
2,10020621,10015795,0.0,-1.3888888888888928,6,-69,-0.7300000000000004,4.0,1,0
3,10020621,10015795,0.0,-1.3888888888888928,6,-69,-0.7300000000000004,-1.0,1,0
4,10020616,10015795,0.0,2.040816326530617,1,51,-0.41999999999999993,-2.0,0,0
5,10024120,10015795,1.0,1.3888888888888928,20,-40,-0.16999999999999993,2.0,1,0
6,10043992,10015795,-2.0,-12.06896551724138,-28,-84,-2.4299999999999997,-2.0,0,0
7,10021704,10022497,0.0,2.5434243176178697,2,-19,-0.09999999999999964,-2.0,-1,0
8,10020616,10022497,0.0,-1.1849901250822867,6,96,-0.5,-2.0,-1,0
9,10015862,10022497,1.0,-1.501668520578427,16,42,-0.7199999999999989,1.0,0,0
10,10015766,10022497,0.0,-4.141557367363845,23,79,-0.629999999999999,-1.0,-1,0
11,10045577,10022497,0.0,3.024193548387096,8,-58,-0.16000000000000014,2.0,0,0
12,10021704,10020616,-1.0,3.7284144427001564,-4,-115,0.40000000000000036,-1.0,0,0
13,10024120,10020616,2.0,-0.6519274376417243,19,-91,0.25,-1.0,1,0
14,10035110,10020616,-2.0,-2.966742252456541,-29,-113,-0.7199999999999989,2.0,0,0
15,10021023,10020616,2.0,6.731113498030787,22,-103,1.040000000000001,2.0,1,0
16,10041008,10020616,-2.0,-25.953859804791488,-35,-119,-3.63,-1.0,1,0
17,10042082,10020616,-1.0,-18.70748299319729,-19,-151,-2.54,-2.0,1,0
18,10028937,10020616,2.0,4.75918367346938,26,-96,0.8100000000000005,-3.0,1,0
19,10023706,10020616,0.0,3.5883227463170613,21,-66,0.9600000000000009,3.0,1,0
20,10045424,10020612,0.0,-10.667903525046377,-31,-45,-0.8900000000000006,-3.0,0,0
21,10040332,10020612,0.0,-6.572899430042291,-4,13,-0.7100000000000009,2.0,0,0
22,10015765,10020612,5.0,-8.065911877118332,29,123,-1.0600000000000005,-5.0,0,0
23,10021023,10020612,1.0,2.649480844969574,4,11,0.6600000000000001,-3.0,0,0
24,10042082,10020612,-1.0,-22.7891156462585,-37,-37,-2.920000000000001,-2.0,0,0
25,10020617,10036194,5.0,-9.259259259259252,48,-15,0.1399999999999988,1.0,0,0
26,10015862,10036194,-1.0,-7.5351213282247755,-12,73,-0.5800000000000001,-3.0,0,0
27,10015862,10036194,-1.0,-7.5351213282247755,-12,73,-0.5800000000000001,2.0,0,0
28,10028310,10036194,2.0,-6.067769897557113,22,7,-0.07000000000000028,-3.0,0,0
29,10020623,10036194,-2.0,-4.713804713804713,-28,6,0.2599999999999998,-1.0,-1,0
30,10028301,10036194,1.0,-7.037037037037031,13,18,-0.3600000000000012,-2.0,0,0
31,10028301,10036194,1.0,-7.037037037037031,13,18,-0.3600000000000012,3.0,0,0
32,10020612,10036194,-1.0,-3.136810279667422,-4,13,0.019999999999999574,3.0,0,0
33,10020617,10035268,2.0,-0.8064516129032242,13,-49,0.7699999999999996,2.0,0,0
34,10036875,10035268,-3.0,18.311195445920298,-28,-38,1.8399999999999999,3.0,0,0
35,10015753,10035268,-3.0,-1.0326959567946261,-30,40,0.40000000000000036,-2.0,0,0
36,10015770,10035268,2.0,8.348477964561567,10,-40,1.25,-3.0,0,0
37,10016775,10035268,-3.0,-5.351906158357771,-37,26,-0.39000000000000057,-1.0,0,0
38,10020415,10035268,-2.0,6.584852734922869,-17,-15,0.3800000000000008,2.0,0,0
39,10020415,10035268,-2.0,6.584852734922869,-17,-15,0.3800000000000008,-4.0,0,0
40,10021703,10038878,0.0,-6.817222456732793,-7,-9,-1.120000000000001,3.0,0,0
41,10021703,10038878,-1.0,-6.817222456732793,-7,-9,-1.120000000000001,-4.0,0,0
42,10015766,10038878,-2.0,-12.080799459440257,-11,95,-1.1899999999999995,-3.0,-1,0
43,10021023,10038878,0.0,-2.393118719127912,-6,9,-0.019999999999999574,-3.0,0,0
44,10043992,10038878,-4.0,-23.234014060930697,-57,-23,-3.0700000000000003,-2.0,-1,0
45,10021703,10036875,-1.0,-14.769820971866999,-8,10,-1.6300000000000008,2.0,0,0
46,10021703,10036875,0.0,-14.769820971866999,-8,10,-1.6300000000000008,-3.0,0,0
47,10024115,10036875,1.0,-13.999536822603048,3,31,-1.0500000000000007,-1.0,-1,0
48,10038878,10036875,0.0,-7.952598515134206,-1,19,-0.5099999999999998,3.0,0,0
49,10035268,10036875,3.0,-18.311195445920298,28,38,-1.8399999999999999,-2.0,0,0
50,10021703,10016775,0.0,8.89328063241107,1,-54,0.5999999999999996,2.0,0,0
51,10020621,10016775,-1.0,3.156565656565654,-15,-53,0.34999999999999964,-2.0,0,0
52,10028939,10016775,-1.0,6.6287878787878896,3,-16,0.5600000000000005,4.0,-1,0
53,10028301,10016775,1.0,6.767676767676768,15,-42,0.6600000000000001,3.0,0,0
54,10020621,10024555,-2.0,-2.2817460317460316,-22,-29,-0.16000000000000014,-1.0,0,0
55,10024115,10024555,0.0,4.225253093363335,5,-9,0.6699999999999999,3.0,-1,0
56,10043769,10024555,-3.0,21.32936507936506,-22,-65,3.2700000000000014,-2.0,0,0
57,10020621,10024120,-2.0,-2.7777777777777857,-14,-29,-0.5600000000000005,4.0,0,0
58,10042790,10024120,-2.0,-9.722222222222221,-15,-57,-2.1599999999999993,1.0,0,0
59,10015795,10024120,-2.0,-1.3888888888888928,-20,40,0.16999999999999993,3.0,-1,0
60,10035110,10024120,-4.0,-2.3148148148148167,-48,-22,-0.9699999999999989,1.0,-1,0
61,10020621,10041008,4.0,22.524154589371978,40,-1,3.3199999999999994,1.0,0,0
62,10020616,10041008,2.0,25.953859804791488,35,119,3.63,2.0,-1,0
63,10015753,10041008,4.0,23.68679913436947,62,66,3.7600000000000007,2.0,0,0
64,10021023,10041008,4.0,32.68497330282227,57,16,4.670000000000001,2.0,0,0
65,10015788,10041008,2.0,27.02507667328162,38,71,3.9300000000000006,2.0,0,0
66,10016775,10041008,4.0,19.367588932806324,55,52,2.9699999999999998,1.0,0,0
67,10036194,10041008,4.0,33.17230273752013,57,-8,3.990000000000001,2.0,0,0
68,10028313,10041008,1.0,22.750252780586454,31,54,3.0599999999999996,-2.0,0,0
69,10028313,10041008,1.0,22.750252780586454,31,54,3.0599999999999996,1.0,0,0
70,10029511,10041008,0.0,23.05097451274362,25,17,3.4699999999999998,2.0,-1,0
71,10043732,10041008,0.0,-4.658385093167702,17,-34,-0.9699999999999998,-2.0,0,0
72,10025831,10041008,4.0,30.49199084668192,80,49,4.240000000000001,2.0,0,0
73,10025830,10041008,0.0,15.217391304347824,4,16,2.5100000000000007,1.0,-1,0
74,10043733,10041008,2.0,34.62732919254658,61,-24,5.490000000000001,3.0,0,0
75,10043733,10041008,3.0,34.62732919254658,61,-24,5.490000000000001,2.0,0,0
76,10039980,10041008,0.0,34.5687811831789,30,-11,5.569999999999999,2.0,-1,0
77,10035162,10041008,0.0,15.089514066496161,25,-33,3.6399999999999997,1.0,0,0
78,10020621,10042547,-1.0,-4.960317460317462,-11,31,-1.58,-1.0,0,0
79,10015862,10042547,-1.0,-1.8472906403940925,-6,97,-1.4899999999999984,1.0,0,0
80,10042790,10042547,-1.0,-11.904761904761898,-12,3,-3.179999999999999,-2.0,0,0
81,10041008,10042547,-4.0,-27.48447204968944,-51,32,-4.8999999999999995,-2.0,0,0
82,10040937,10042547,4.0,5.612244897959194,48,43,-0.15999999999999837,2.0,0,0
83,10041378,10042547,-1.0,10.317460317460323,5,4,0.6300000000000008,3.0,0,0
84,10020621,10015862,0.0,-3.1130268199233697,-5,-66,-0.09000000000000163,3.0,0,0
85,10040332,10015862,0.0,-2.174588381484938,4,-47,-0.11000000000000121,-2.0,0,0
86,10020612,10015862,0.0,4.398311048557353,8,-60,0.5999999999999996,-1.0,0,0
87,10018156,10015862,1.0,1.4947461891371958,18,29,0.35999999999999943,3.0,0,0
88,10022493,10015862,0.0,0.2443660059733901,6,-31,0.22999999999999865,-2.0,0,0
89,10041328,10015862,1.0,12.561576354679815,8,-98,2.09,-3.0,0,0
90,10034920,10015862,-1.0,5.418719211822662,-19,-96,0.8300000000000001,-1.0,-1,0
91,10041347,10015862,1.0,7.099391480730233,7,-96,0.6199999999999992,-2.0,0,0
92,10041780,10015862,-1.0,-10.81504702194357,-15,-91,-1.1100000000000012,3.0,0,0
93,10020616,10029216,0.0,-3.655386205114958,0,115,-0.5199999999999996,-1.0,-1,0
94,10022497,10029216,0.0,-2.470396080032671,-6,19,-0.019999999999999574,-3.0,0,0
95,10035110,10029216,-1.0,-6.622128457571499,-29,2,-1.2399999999999984,-2.0,-1,0
96,10028301,10029216,3.0,-3.4739803094233537,35,6,-0.5199999999999996,1.0,0,0
97,10041330,10029216,0.0,10.970464135021082,25,-37,1.5500000000000007,3.0,0,0
98,10041329,10029216,1.0,7.940161104718058,18,-33,0.4900000000000002,-2.0,0,0
99,10028313,10029216,1.0,-6.858993229319992,-4,50,-1.0899999999999999,-1.0,0,0
100,10020616,10021704,1.0,-3.7284144427001564,4,115,-0.40000000000000036,-1.0,0,0
101,10022497,10021704,0.0,-2.5434243176178697,-2,19,0.09999999999999964,-1.0,1,0
102,10042547,10021704,2.0,-2.197802197802204,20,-36,0.8699999999999992,-2.0,1,0
103,10038878,10021704,2.0,5.395817774458543,32,3,0.6600000000000001,1.0,1,0
104,10047297,10021704,0.0,14.230769230769226,4,-47,1.4000000000000004,2.0,1,0
105,10020616,10018159,0.0,4.328398025877014,-13,-6,0.5299999999999994,-2.0,-1,0
106,10041105,10018159,0.0,9.863339275103975,23,-97,1.8699999999999992,3.0,0,0
107,10041333,10018159,0.0,0.9362303479950498,-15,-150,-0.20000000000000107,-3.0,0,0
108,10029219,10018159,1.0,8.954248366013054,15,-128,0.9100000000000001,1.0,0,0
109,10022493,10018159,1.0,4.256085636354264,3,-91,0.5399999999999991,1.0,0,0
110,10042139,10018159,0.0,-47.7124183006536,-19,-170,-6.74,-2.0,0,0
111,10020616,10028937,-2.0,-4.75918367346938,-26,96,-0.8100000000000005,-1.0,-1,0
112,10024531,10028937,0.0,-2.017391304347825,-1,-12,-0.5299999999999994,1.0,0,0
113,10040937,10028937,4.0,2.383673469387766,38,-12,0.3000000000000007,-4.0,0,0
114,10036688,10028937,0.0,-10.13333333333334,-6,-54,-1.6400000000000006,1.0,0,0
115,10020406,10028937,-3.0,-10.288372093023263,-50,-51,-1.75,-1.0,0,0
116,10020616,10026703,0.0,3.119953017178098,7,83,0.17999999999999972,3.0,-1,0
117,10029594,10026703,0.0,-5.284499672988886,7,-20,-0.1899999999999995,-1.0,0,0
118,10041103,10026703,0.0,-23.92086330935252,5,-82,-3.67,-1.0,0,0
119,10025898,10026703,-2.0,-4.120863309352522,-17,-3,-0.3200000000000003,4.0,-1,0
120,10020406,10026703,-1.0,-2.409235402375785,-17,-64,-0.7599999999999998,-1.0,0,0
121,10020616,10029594,0.0,8.404452690166984,0,103,0.3699999999999992,-1.0,-1,0
122,10024115,10029594,2.0,11.48174659985684,32,3,0.8899999999999988,1.0,-1,0
123,10041105,10029594,1.0,13.939393939393945,36,12,1.709999999999999,-2.0,0,0
124,10021685,10029594,2.0,15.594405594405579,31,23,1.4399999999999995,1.0,0,0
125,10041378,10029594,1.0,20.25252525252526,21,-44,2.2699999999999996,3.0,0,0
126,10026703,10029594,0.0,5.284499672988886,-7,20,0.1899999999999995,1.0,0,0
127,10042548,10029594,0.0,10.113636363636367,-1,-17,0.6899999999999995,-2.0,0,0
128,10020616,10041105,0.0,-5.534941249226961,-36,91,-1.3399999999999999,-3.0,-1,0
129,10020616,10026701,2.0,15.808932268559602,33,83,2.01,2.0,0,0
130,10025898,10026701,0.0,8.568115942028982,9,-3,1.5099999999999998,-2.0,0,0
